ANOMES;IDENTIFICACION;NOMBRE;COL03;VIAJES;VIAJESFLOTAPROPIA;VALORPACTADO;TONELADAS;GALONES;COL09;COL10
202401 a 202412;8020023676;TRANSCONTAINER S.A.; ;33,823;8,678;    22,876,907,997;177,364;0; ; 
202401 a 202412;9012655472;CES RED LOGISTICA S.A.S; ;33,506;9,798;    18,497,616,718;42,195;0; ; 
202401 a 202412;9001883734;LANDCARGO S.A.S ; ;33,12;2;   107,727,008,661;         1,425,751;0; ; 
202401 a 202412;8301098315;MULTINEXA SAS; ;31,894;0;    79,531,074,963;793,134;0; ; 
202401 a 202412;8300924617;CONALTRA S.A.; ;31,869;0;    97,506,535,711;484,72;0; ; 
202401 a 202412;9014478447;AAA CARGA Y TRANSPORTES S.A.S; ;31,405;4;   125,171,392,037;758,861;56,9; ; 
202401 a 202412;8000464572;MOTOTRANSPORTAMOS S.A.S.; ;31,142;1;    47,332,236,386;296,127;44,4; ; 
202401 a 202412;8110148958;FRACOR S.A.S; ;30,96;0;    41,991,390,099;246,393;0; ; 
202401 a 202412;9006373638;TRANSPORTE DE CARGA SOLIDA Y LIQUIDA DE COLOMBIA S.A.S.; ;30,638;771;   130,598,756,993;         1,033,114;0; ; 
202401 a 202412;8110385781;DIAMONI LOGISTICA S.A.S; ;30,214;0;    38,155,303,101;134,212;0; ; 
202401 a 202412;8600549781;ADISPETROL S.A.; ;30,172;26,381;     9,894,891,859;309,493;       158,762,006; ; 
202401 a 202412;8300175521;COMPAÃ‘IA TRANSPORTADORA Y COMERCIALIZADORA DE PRODUCTOS DERIVADOS DEL PETROLEO SAS y CTC SAS -; ;30,163;27,08;     7,649,114,036;317,918;        92,774,765; ; 
202401 a 202412;9001770528;LIMA TRANSPORTES S.A.; ;29,873;8,283;    59,354,962,575;69,152;       198,076,786; ; 
202401 a 202412;9000537586;TRANSPORTES GAYCO S.A.S.; ;29,594;12,986;    54,805,521,860;148,791;       230,265,794; ; 
202401 a 202412;8301284599;TKARGA S.A.S.; ;29,345;719;    38,483,321,691;184,386;308,6; ; 
202401 a 202412;8300790065;EXPRESO ANDINO DE CARGA S.A.; ;28,693;544;    31,868,521,359;152,278;0; ; 
202401 a 202412;9009959205;CARGOVOLCO S.A.S.; ;28,011;22,248;    20,463,175,735;952,248;0; ; 
202401 a 202412;8914005928;COOPERATIVA DE TRANSPORTADORES DE RISARALDA LTDA ; ;27,657;0;    60,946,499,326;347,624;0; ; 
202401 a 202412;9002777438;SERVI OIL DTC S.A.S; ;27,279;0;    37,785,875,860;37,719;       172,242,134; ; 
202401 a 202412;8110396752;TRANSPORTES Y LOGISTICA S.A; ;26,771;0;    32,334,952,368;63,334;500; ; 
202401 a 202412;9005827317;EGA KAT LOGISTICA S.A.S; ;26,697;24;    30,973,171,028;116,963;179,12; ; 
202401 a 202412;8604509874;TRANSPORTES JOALCO S.A.; ;26,606;11,77;    33,150,548,481;339,837;        61,778,542; ; 
202401 a 202412;9001321095;LINKARGA S.A.S; ;26,49;0;    48,343,036,004;308,615;0; ; 
202401 a 202412;9011966940;TAGA LOGISTICS SAS; ;25,689;2,094;    43,519,508,894;327,193;0; ; 
202401 a 202412;8320068311;TRANSPORTES BETANIA S.A.; ;25,334;1,444;    41,332,863,548;438,229;334,98; ; 
202401 a 202412;8040083140;TRANSPORTES TERRESTRES DE CARGA LTDA; ;25,165;83;    84,397,374,483;564,04;        26,480,076; ; 
202401 a 202412;9000600183;ORGANIZACION LOGISTICA DE TRANSPORTE SANABRIA S.A.; ;25,109;12,94;    29,841,592,438;668,246;        51,548,995; ; 
202401 a 202412;9004580033;EMPRESA CONEXOS LOGISTICA S.A.S.; ;25,102;0;    12,368,701,385;84,062;0; ; 
202401 a 202412;9000811601;TRANSPORTES T.M.C. & CIA. LTDA.; ;24,634;7,109;    59,191,296,908;19,288;       218,082,065; ; 
202401 a 202412;9012374665;INNOVALOG  INNOVATION LOGISTICS SAS; ;23,92;1;    11,444,279,091;65,142;0; ; 
202401 a 202412;8002091790;COLOMBIANA DE ENCOMIENDAS S.A.; ;23,653;14;    27,378,758,722;1,892;0; ; 
202401 a 202412;8110415521;OPERACIONES SERVICOS Y LOGISTICAS EN TRANSPORTE S.A.; ;23,44;0;    22,817,360,271;62,493;0; ; 
202401 a 202412;8002424271;CompaÃ±Ã­a de DistribuciÃ³n y Transporte S.A.S BIC; ;23,316;787;    27,824,444,586;130,102;0; ; 
202401 a 202412;9004353773;TRANSPORTES DE CARGA MASIVOS  Y OTROS S.A.S. - TACMO S.A.S; ;22,066;92;    25,480,874,577;99,306;0; ; 
202401 a 202412;9012825301;ALIANZA LOGISTIKA S.A.S ; ;22,026;0;    42,888,821,496;305,684;166; ; 
202401 a 202412;8920994211;COOPERATIVA DE TRANSPORTADORES DE TAME LTDA; ;22,017;601;    47,383,810,779;84,703;        99,370,791; ; 
202401 a 202412;8600709952;ICOLTRANS - INDUSTRIA COLOMBIANA DE LOGISTICA Y TRANSPORTE LTDA; ;21,752;7,839;    17,353,664,474;170,228;0; ; 
202401 a 202412;9014130595;BERGE VIGIA S.A.S; ;21,747;6,574;    40,985,848,129;174,807;0; ; 
202401 a 202412;9002204230;ZONA LOGISTICA S.A.S; ;21,707;7,483;    15,924,035,302;53,27;0; ; 
202401 a 202412;8050270466;TRANSPORTES CAMIONES Y CAMIONES LTDA; ;21,394;0;    26,796,610,256;104,741;0; ; 
202401 a 202412;8002142434;INTERCARGUEROS ANDINOS LTDA; ;21,218;824;    29,593,638,743;178,436;0; ; 
202401 a 202412;8090121836;INVERSIONISTAS DE CARGA S.A.S ; ;20,984;0;    40,523,842,408;286,338;0; ; 
202401 a 202412;8301019592;TRANSPORTES LOGISTICOS DE CARGA GMT SAS; ;20,91;1,645;    36,653,358,790;131,128;         5,789,293; ; 
202401 a 202412;9002981027;FL COLOMBIA S A S; ;20,722;10,863;     4,577,322,650;371,422;0; ; 
202401 a 202412;9006684875;LOGISTICA Y DISTRIBUCION ESPECIALIZADA L&D S.A.S. ; ;20,511;20,511;0;86,448;         2,992,853; ; 
202401 a 202412;8260025132;CARGANDO S.A.S; ;20,504;2;    49,055,282,362;671,926;         6,857,798; ; 
202401 a 202412;8110029850;TRANSPORTADORA ESTRELLA S.A.S; ;20,345;0;    57,362,229,032;368,463;0; ; 
202401 a 202412;8000840034;GRANELES Y CARGA S.A; ;20,308;17;    61,282,453,102;638,574;0; ; 
202401 a 202412;8130101863;PETROL SERVICES Y CIA S.A.S ; ;20,196;15,127;     5,711,888,260;3,078;       143,859,268; ; 
202401 a 202412;8300533296;STAR TRANS ACIDOS Y QUIMICOS S.A.S.; ;20,158;0;    12,917,007,639;103,512;0; ; 
202401 a 202412;8909028758;TRANSPORTES RAPIDO OCHOA S.A. ; ;19,998;368;    21,382,964,637;102,866;0; ; 
202401 a 202412;8160056715;INTERANDINA DE CARGA S.A.; ;19,637;1,172;    53,413,883,586;235,344;31,6; ; 
202401 a 202412;9002944782;AUTOTANQUES DE COLOMBIA S.A.S; ;19,522;2,964;    78,338,263,462;539,069;        38,164,933; ; 
202401 a 202412;9003265765;TRANSPORTES OKENDO S.A.S.; ;19,291;823;    52,281,265,460;625,344;0; ; 
202401 a 202412;9011212867;MILLA SIETE S.A.S; ;19,146;0;     9,420,118,781;20,808;0; ; 
202401 a 202412;9007437451;INDUSTRIA TRANSPORTADORA CARDONA SAS; ;18,991;4,044;    40,886,058,488;458,197;0; ; 
202401 a 202412;9000681457;ORGANIZACION LOGISTICA TRANSPORTADORA S.A. OLT S.A.; ;18,537;3,787;    35,063,496,124;418,93;0; ; 
202401 a 202412;8001706959;COOPERATIVA BUGALAGRANDEÃ‘A DE TRANSPORTES LTDA; ;18,532;0;    21,500,975,868;178,067;11; ; 
202401 a 202412;8000381298;INTEGRAL DE CARGA CARGRANEL S.A; ;18,28;0;    46,554,886,202;222,088;0; ; 
202401 a 202412;9009048451;CH INVERTRANS S.A.S; ;17,905;2,347;     7,430,164,669;60,729;0; ; 
202401 a 202412;9012773872;GE LOGISTICA S.A.S; ;17,89;0;    15,435,175,400;31,977;973,5; ; 
202401 a 202412;8600529806;SURAMERICANA DE TRANSPORTES S.A.; ;17,626;2,112;    32,253,205,183;196,915;0; ; 
202401 a 202412;8320071782;TRANSPORTADORA MULTIGLOBAL S.A.S; ;17,624;2,339;    19,750,051,908;142,726;0; ; 
202401 a 202412;9015204858;EMPRESA DE TRANSPORTE DE CARGA MAXI ESPECIAL SAS,; ;17,528;0;    25,888,525,375;151,017;220,462; ; 
202401 a 202412;8130084055;INVERSIONES TRACTO EXPRESS LTDA; ;17,333;1,578;    76,989,932,779;2,372;       181,920,976; ; 
202401 a 202412;8600267444;AGIL CARGO S.A.S; ;17,239;1,887;    12,445,776,020;77,061;0; ; 
202401 a 202412;8300228896;TROTER S.A.; ;17,211;0;     6,611,865,258;29,218;0; ; 
202401 a 202412;8300450345;PISOTRANS LTDA; ;17,132;0;    31,663,973,743;230,147;0; ; 
202401 a 202412;9006881987;TRANSPORTES CARGOFRIO S.A.S; ;17,118;16,421;     2,464,432,641;373,853;143; ; 
202401 a 202412;9001634648;TRANSPORTES MASA LTDA; ;16,835;11,496;    12,862,480,031;212,565;         7,544,000; ; 
202401 a 202412;8002048620;MORENO & GALVIS TRANSPORTES Y CARGA LTDA; ;16,64;0;    20,820,140,713;106,282;6; ; 
202401 a 202412;9005820366;ENLACE LOGISTICO DE CARGA SAS; ;16,399;3,319;    19,457,360,210;378,065;2; ; 
202401 a 202412;9004493126;TRANSPORTE Y LOGISTICA PETROLERA S.A.S.; ;16,152;0;     8,712,241,983;6;        91,228,996; ; 
202401 a 202412;9004224198;COMPANIA INTEGRAL DE TRANSPORTES S.A.S.; ;16,097;3,502;    26,488,916,103;515,321;0; ; 
202401 a 202412;8050009770;TRANSCARGA RG SAS; ;16,058;16,056;111,4;288,703;0; ; 
202401 a 202412;8001187767;TRANSPORTES ICEBERG DE COLOMBIA S.A.; ;16,056;15,183;     1,609,031,000;245,865;        81,718,000; ; 
202401 a 202412;8300714670;TRANSPORTE MINERIA Y CONSTRUCCION LTDA; ;15,838;10,784;     4,649,472,451;247,411;0; ; 
202401 a 202412;9002952861;ECOPLANTA PROCESOS DE RESIDUOS INDUSTRIALES S.AS.; ;15,725;2,903;    36,599,608,016;14,464;        84,829,858; ; 
202401 a 202412;9002956063;INTERWORLD LAND TRANSPORT S.A.S.; ;15,708;623;    30,040,345,267;107,333;0; ; 
202401 a 202412;9007144691;SKY LOGISTICA INTEGRAL S.A.S; ;15,678;0;    21,136,730,946;70,047;0; ; 
202401 a 202412;8190041165;ELOGIA SOLUCIONES LOGISTICAS S.A.S ; ;15,641;12,997;     7,909,309,873;371,773;        29,280,573; ; 
202401 a 202412;9016021562;GNL GREEN NETWORK LOGISTICS S.A.S; ;15,596;6,209;    21,023,196,466;126,633;16; ; 
202401 a 202412;8001363105;INVERSIONES Y TRANSPORTES CAMACHO Y CAMACHO S.A.; ;15,535;0;    58,698,659,963;330,285;        46,667,976; ; 
202401 a 202412;9001172320;NG BUSINESS GROUP  S.A.S ; ;15,463;1,528;    28,738,632,194;30,709;         2,836,577; ; 
202401 a 202412;9003937427;TRANSPORTES CI SAS; ;15,124;0;    30,782,772,243;441,942;0; ; 
202401 a 202412;9001643637;INTEGRA CADENA DE SERVICIOS S.A.S.; ;15,038;495;    12,903,398,683;47,525;0; ; 
202401 a 202412;9004885096;PETROLIQUIDOS S.A.S.; ;14,801;3,312;    26,648,076,929;396,003;         4,079,909; ; 
202401 a 202412;8350007702;BGP CONTAINER & LOGISTICS S.A.; ;14,785;4,554;    19,503,224,378;509,088;0; ; 
202401 a 202412;9001647156;COMPAÃ‘ÃA TRANSPORTADORA DE COLOMBIA S.A.S - COTRANSCOL S.A.S; ;14,738;2,419;    47,705,931,922;257,437;19,31; ; 
202401 a 202412;8903010714;TRANSPORTES CENTROVALLE S.A; ;14,701;7,922;    10,903,309,007;401,764;         8,512,900; ; 
202401 a 202412;9003942176;RH GROUP S.A.S.; ;14,678;5,96;    32,040,295,490;238,515;        69,034,504; ; 
202401 a 202412;8110074347;TRANSPORTES URIMAR S.A.S; ;14,63;114;    47,009,791,779;460,822;0; ; 
202401 a 202412;9007031182;TRANSPORTES LOGISTICOS DE CARGA NACIONAL S.A.S.; ;14,589;0;    31,731,626,156;262,518;0; ; 
202401 a 202412;9009661854;LOGISTICA INTELIGENTE SOLUTION S.A.S; ;14,505;496;     8,670,590,441;26,54;0; ; 
202401 a 202412;8002341954;MULTIMODAL DE TRANSPORTES S.A.S.; ;14,491;8,097;     1,825,954,425;19,888;0; ; 
202401 a 202412;8001487568;TRANSPORTES LODISCARGA S.A.S.; ;14,168;655;    25,715,195,466;217,802;0; ; 
202401 a 202412;9009437048;VELOENVIOS S.A.S; ;14,062;4,287;    10,919,305,201;61,508;0; ; 
202401 a 202412;9007029864;OPERLOG COLOMBIA S.A.S; ;13,98;11,454;     3,410,832,286;4,027;0; ; 
202401 a 202412;9003036345;TRANSPORTES DE LA SIERRA SOCIEDAD POR ACCIONES SIMPLIFICADA ; ;13,975;2,225;    31,789,078,916;430,655;         1,410,000; ; 
202401 a 202412;9003898555;TRANSPORTADORA DE CARGA Y LOGISTICA S.A.; ;13,545;0;    14,854,161,564;61,336;0; ; 
202401 a 202412;9003885255;MAESTRI ON TRACK S.A.S.; ;13,423;2,319;    26,337,596,096;260,974;617; ; 
202401 a 202412;8002473480;TRANSPORTADORA PORRAS AMAYA S.A.S; ;13,161;0;    19,232,595,755;55,344;0; ; 
202401 a 202412;9016495091;SUMINISTROS COLCARGA S.A.S; ;13,085;0;    24,759,812,652;133,614;31,6; ; 
202401 a 202412;8160071469;TRANSPORTES ALIANCE SAS; ;13,003;0;    37,611,922,717;302,362;57; ; 
202401 a 202412;9011128044;LOGISTICA Y SERVICIOS JR SAS; ;12,824;533;    22,670,753,388;106,272;0; ; 
202401 a 202412;9013430571;TECLOGI CARGO S.A.S.; ;12,773;0;    28,082,637,168;127,729;0; ; 
202401 a 202412;8110014973;LOGISTICA Y TRANSPORTES TGB S.A.S; ;12,681;156;    25,327,482,324;148,54;600; ; 
202401 a 202412;8908023378;COOPERATIVA DE TRANSPORTADORES DEL NORTE DE CALDAS; ;12,476;0;    22,246,532,850;36,053;0; ; 
202401 a 202412;9003071453;HDL LOGISTICA S.A.S.; ;12,395;3,707;     5,479,126,471;111,642;0; ; 
202401 a 202412;9005157676;LOGISTICA ROBLEDO S.A.S.; ;12,359;0;    17,283,886,284;130,32;102,5; ; 
202401 a 202412;8260025630;COOPERATIVA DE TRANSPORTES LOS LIBERTADORES DE COLOMBIA LTDA; ;12,295;0;    15,995,316,254;83,487;7; ; 
202401 a 202412;8000949349;TRANSPORTADORA SURAMERICANA DE CARGA S.A.; ;12,267;0;    31,978,561,113;210,9;82,632; ; 
202401 a 202412;9000726643;VIA CARGO SAS; ;12,246;2,948;    27,731,950,172;316,263;0; ; 
202401 a 202412;9001828222;MATRASE S.A.; ;12,228;1,924;    20,497,389,499;73,887;0; ; 
202401 a 202412;8902010564;COVOLCO COOPERATIVA DE TRANSPORTADORES DE VOLQUETAS, TANQUES Y CARGA PARA COLOMBIA; ;12,19;757;    51,371,965,542;80,108;        74,633,250; ; 
202401 a 202412;9005910357;SOLSERVIS TRANSPORTES SAS; ;12,077;682;    37,360,253,384;177,166;        60,760,635; ; 
202401 a 202412;9000444141;EMPRESA TRANSCARGA MUNDIAL S.A.S.; ;12,076;10,064;     2,134,180,110;46,454;0; ; 
202401 a 202412;8001315123;COORDINADORA ANDINA DE CARGA S.A.S.  - CORDIANDINA S.A.S; ;12,059;184;     6,857,092,228;21,245;0; ; 
202401 a 202412;8001601242;TRANSPORTES ORO SAS; ;12,037;8,237;     9,873,640,028;237,004;0; ; 
202401 a 202412;9001389138;TRANSPORTES ESPECIALES DEL VALLE S.A.; ;12,029;0;    27,348,852,393;324,637;0; ; 
202401 a 202412;9000310885;COMERCIALIZADORA INTERNACIONAL BANANEROS UNIDOS DE SANTA MARTA; ;11,898;576;     8,013,155,307;169,153;0; ; 
202401 a 202412;8010040638;TRANSCARTER S.A.S; ;11,87;6,22;    16,658,392,343;345,478;23,749; ; 
202401 a 202412;8000818337;LINEAS TECNICAS DE CARGAMENTO S.A.; ;11,867;0;    24,405,198,508;123,975;10,15; ; 
202401 a 202412;9002942080;CONSORCIO DIA S.A.; ;11,841;222;    24,171,812,818;1,475;       123,156,542; ; 
202401 a 202412;8301094312;EMPRESA COMERCIAL DE TRANSPORTE R & R S.A.S; ;11,73;0;    28,504,849,189;107,317;0; ; 
202401 a 202412;9004881079;TRANSCOMIN S.A.S; ;11,703;9;    56,788,428,328;397,734;0; ; 
202401 a 202412;9003894591;GRC OCCIDENTAL DE TRANSPORTES S.A.S. ; ;11,633;0;     1,274,589,683;232,403;0; ; 
202401 a 202412;9001242219;COORDINADORA DE TRANSPORTES P & P LTDA; ;11,618;6,453;     4,252,733,377;67,564;0; ; 
202401 a 202412;8020099265;TRANSPORTES QUIROGA S.A.S; ;11,568;11,568;0;223,993;0; ; 
202401 a 202412;9003955571;SISTEMA INTEGRADO TRANSPORTES QUITIAN S.A.S.; ;11,566;0;     5,447,131,812;16,24;0; ; 
202401 a 202412;8301083556;LOGISTICA TOTAL S.A.; ;11,566;0;    29,847,363,660;124,381;0; ; 
202401 a 202412;8040097021;PROVEEDORA DE CARGA S. A.; ;11,48;8,283;     7,126,887,578;353,671;0; ; 
202401 a 202412;9008908434;TRANSPORTES BRICAI S.A.S.; ;11,42;0;    20,135,369,984;128,646;0; ; 
202401 a 202412;8918004324;COOPERATIVA INTEGRAL DE TRANSPORTADORES DEL VALLE DE SAMACA LTDA ; ;11,338;0;    52,960,207,066;358,246;0; ; 
202401 a 202412;9007250189;LOGISTICA Y TRANSPORTE DE MERCANCIAS S.A.S ; ;11,222;1,557;    21,966,752,335;345,902;33; ; 
202401 a 202412;9005414822;LOGISTICA JL SAS; ;11,178;11,176;660;261,988;0; ; 
202401 a 202412;8000340030;TRANSPORTES CARLOS DIAZ Y CIA. LTDA; ;11,076;0;    30,123,601,080;180,444;611,209; ; 
202401 a 202412;8001282450;TRANSPORTES SARVI S.A.S; ;11,036;10;    31,878,225,727;169,861;0; ; 
202401 a 202412;8320055691;COOPERATIVA DE SERVICIO DE CARGA DE LA SABANA LTDA; ;11,034;5;     5,560,942,935;18,513;18; ; 
202401 a 202412;8300545810;ESTELAR EXPRESS SAS; ;10,987;7,892;     2,530,854,317;102,053;0; ; 
